,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
170,Owner,0,0,3,1911.400944,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,85.0
171,Dealer,0,0,3,1592.356688,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,60.0
172,Dealer,0,0,3,1483.1981460000004,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,51.2
173,Dealer,0,0,3,1552.967277,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,56.0
174,Owner,0,0,3,1523.065193,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,79.9
175,Dealer,0,0,3,1765.278792,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,72.5
176,Dealer,0,1,2,1150.054765,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,42.0
177,Dealer,0,0,3,1760.08665,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,65.0
178,Dealer,0,0,3,1595.092025,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,78.0
179,Owner,0,0,2,1125.070317,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,60.0
180,Dealer,0,0,3,1595.193702,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,77.0
181,Dealer,0,0,4,1916.075877,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,100.0
182,Dealer,0,1,2,1150.0261369999996,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,44.0
183,Dealer,0,0,2,1299.084736,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,44.0
184,Dealer,0,0,3,1595.092025,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,78.0
185,Owner,0,0,4,2050.149819,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,130.0
186,Dealer,0,0,3,1600.0,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,60.0
187,Owner,0,0,2,1075.011945,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,45.0
188,Dealer,0,0,2,920.0178068,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,62.0
189,Dealer,0,0,3,1769.1415309999998,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,61.0
190,Owner,0,0,3,1650.0,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,85.8
191,Owner,0,0,3,1725.253397,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,80.0
192,Owner,0,0,3,1850.443599,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,73.0
193,Owner,0,0,2,900.090009,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,40.0
194,Owner,0,0,2,1210.067764,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,50.0
195,Dealer,0,0,3,1595.020424,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,82.0
196,Dealer,0,1,3,1850.149391,1,1,"Ahinsa Khand 2,Ghaziabad",28.9196,76.8972,80.5
197,Dealer,0,0,2,900.0,1,1,"Airport,Kolkata",22.648322,88.4431525,28.8
198,Dealer,0,0,2,950.0,1,1,"Airport,Kolkata",22.648322,88.4431525,30.4
199,Dealer,0,0,2,981.2638933,1,1,"Airport,Kolkata",22.648322,88.4431525,30.9
200,Dealer,0,0,2,1137.504182,1,1,"Airport,Kolkata",22.648322,88.4431525,34.0
201,Dealer,0,0,2,905.1724138,1,1,"Airport,Kolkata",22.648322,88.4431525,25.2
202,Owner,0,0,3,1200.0,1,1,"Airport,Kolkata",22.648322,88.4431525,48.0
203,Dealer,0,0,2,906.1383566,1,1,"Airport,Kolkata",22.648322,88.4431525,27.9
204,Dealer,1,0,2,889.4736842,0,1,"Airport,Kolkata",22.648322,88.4431525,33.8
205,Dealer,0,0,2,850.0,1,1,"Airport,Kolkata",22.648322,88.4431525,27.2
206,Dealer,0,0,2,995.51318,1,1,"Airport,Kolkata",22.648322,88.4431525,35.5
207,Dealer,0,0,3,1311.111111,1,1,"Airport,Kolkata",22.648322,88.4431525,47.2
208,Dealer,0,0,3,2765.784114,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,67.9
209,Dealer,0,1,3,1640.740741,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,44.3
210,Dealer,0,0,2,1308.0,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,32.7
211,Owner,0,1,2,781.0413884999998,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,23.4
212,Dealer,0,1,2,878.4425451,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,18.5
213,Owner,0,0,2,1310.186702,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,40.0
214,Owner,0,0,2,1250.0,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,25.0
215,Dealer,0,1,2,1248.148148,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,33.7
216,Dealer,0,0,1,528.7009063,1,0,"Ajmer Road,Jaipur",26.928785,75.828002,14.0
217,Dealer,0,0,3,1467.933492,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,30.9
218,Dealer,0,0,3,1539.201539,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,32.0
219,Owner,0,0,3,1300.0,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,32.5
220,Dealer,0,0,3,1498.113208,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,39.7
221,Owner,0,0,2,992.192583,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,30.5
222,Dealer,0,0,3,1369.863014,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,35.0
223,Owner,1,0,2,983.8369642,0,1,"Ajmer Road,Jaipur",26.928785,75.828002,28.0
224,Owner,0,0,1,500.0,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,11.0
225,Dealer,0,0,3,1097.148381,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,22.7
226,Owner,0,0,2,1070.154578,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,27.0
227,Owner,0,1,2,925.0243427,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,19.0
228,Owner,0,1,2,924.7027741,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,21.0
229,Dealer,0,1,2,924.1706161,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,19.5
230,Owner,1,1,3,1204.081633,0,1,"Ajmer Road,Jaipur",26.928785,75.828002,29.5
231,Owner,0,0,3,1586.602027,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,36.0
232,Dealer,0,1,3,1763.307985,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,37.1
233,Owner,0,0,3,2052.655065,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,46.0
234,Owner,0,1,3,2849.228334,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,72.0
235,Dealer,0,1,2,833.3333332999998,1,0,"Ajmer Road,Jaipur",26.928785,75.828002,17.5
236,Builder,1,1,2,831.8708319,0,0,"Ajmer Road,Jaipur",26.928785,75.828002,23.7
237,Owner,0,0,4,2010.050251,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,60.0
238,Dealer,1,0,2,1138.6374460000004,0,1,"Ajmer Road,Jaipur",26.928785,75.828002,23.9
239,Owner,0,0,3,1870.32419,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,52.5
240,Owner,0,0,3,2122.015915,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,48.0
241,Owner,0,0,3,1599.409449,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,32.5
242,Dealer,0,0,3,1659.407666,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,38.1
243,Owner,0,1,2,925.2405625,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,25.0
244,Owner,0,0,2,750.2420136,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,15.5
245,Owner,0,0,3,1641.90774,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,42.0
246,Dealer,0,1,3,1818.518519,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,49.1
247,Dealer,0,0,4,3390.522876,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,83.0
248,Dealer,1,0,3,1471.297636,0,1,"Ajmer Road,Jaipur",26.928785,75.828002,30.5
249,Dealer,0,0,3,1372.790793,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,33.4
250,Owner,0,0,1,484.9084612,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,9.8
251,Dealer,0,1,2,1429.090909,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,39.3
252,Dealer,0,1,2,1267.135976,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,34.2
253,Owner,0,0,3,1750.477403,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,55.0
254,Dealer,0,1,3,1765.6189370000004,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,45.5
255,Dealer,0,0,3,1418.867925,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,37.6
256,Owner,0,1,3,1205.335874,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,25.3
